team_id,category_id,category_rank,team_total_time,team_total_seconds,team_name,team_avg_time,team_avg_seconds
204,10,22,9:44:27,35067,AIBC,1:13:04,4384
205,10,23,9:49:20,35360,PRIMECorp,1:13:40,4420
206,10,24,9:59:12,35952,SCC Sun Runners,1:14:54,4494
207,10,25,10:04:34,36274,RUN THIS TOWN,1:15:35,4535
208,10,26,10:54:16,39256,IIO,1:21:47,4907
209,11,7,8:45:44,31544,Patterson Dental,1:05:43,3943
210,11,8,9:11:28,33088,Fraser Street Dental,1:08:56,4136
211,11,9,10:02:31,36151,Kensington Square Dental,1:15:19,4519
212,11,10,10:05:36,36336,K-Soul,1:15:42,4542
213,11,11,10:11:28,36688,Latimer Dental,1:16:26,4586
214,11,12,10:17:24,37044,Kerrisdale House of Dentistry,1:17:11,4631
215,11,13,10:19:00,37140,We Love Flossing,1:17:23,4643
216,11,14,10:19:53,37193,AFD,1:17:30,4650
217,11,15,10:31:43,37903,Conscious Dentistry & Little Earthlings Childcare,1:18:58,4738
218,11,16,11:15:20,40520,Royal Square Dental,1:24:25,5065
219,11,17,11:43:36,42216,Radiant Dental,1:27:57,5277
220,11,18,12:25:07,44707,First Avenue Dental Group,1:33:09,5589
221,11,19,13:08:53,47333,Aarm Dental Group,1:38:37,5917
222,11,20,13:17:26,47846,Cavity Crushers,1:39:41,5981
223,11,22,13:53:11,49991,Columbia Square Dental,1:44:09,6249
224,12,30,8:04:45,29085,The SMH Pacemakers,1:00:36,3636
225,12,31,8:07:04,29224,Pac Rim Pacers,1:00:53,3653
226,12,32,8:10:36,29436,Speed Therapy,1:01:20,3680
227,12,33,8:11:08,29468,KindSpine Wellness,1:01:24,3684
228,12,34,8:17:50,29870,SMH OR,1:02:14,3734
229,12,35,8:19:12,29952,Rapid Response Runners,1:02:24,3744
230,12,36,8:27:10,30430,Providence Food Services,1:03:24,3804
231,12,37,8:27:57,30477,VGH O.R. Team,1:03:30,3810
232,12,38,8:28:49,30529,Hemoglobin Hustlers,1:03:37,3817
233,12,39,8:32:34,30754,Run. Forest Plot. Run,1:04:05,3845
234,12,40,8:33:42,30822,Dr. Peter Centre,1:04:13,3853
235,12,41,8:36:55,31015,SMH MILE MUNCHERS,1:04:37,3877
236,12,42,8:40:31,31231,Running Tachy,1:05:04,3904
237,12,43,8:41:11,31271,UBC Hospital,1:05:09,3909
238,12,44,8:44:30,31470,Hilton Vancouver Downtown,1:05:34,3934
239,12,45,8:44:57,31497,NORTHLAND RUNNING CONNECTION,1:05:38,3938
